departamento,nombre
2,Medellín
2,Abejorral
2,Abriaquí
2,Alejandría
2,Amagá
2,Amalfi
2,Andes
2,Angelópolis
2,Angostura
2,Anorí
2,Anza
2,Apartadó
2,Arboletes
2,Argelia
2,Armenia
2,Barbosa
2,Bello
2,Betania
2,Betulia
2,Ciudad Bolívar
2,Briceño
2,Buriticá
2,Cáceres
2,Caicedo
2,Caldas
1,El Dovio
1,Roldanillo
1,Argelia
1,Sevilla
1,Zarzal
1,El Cerrito
1,Cartago
1,Caicedonia
1,El Cairo
1,La Unión
1,Restrepo
1,Dagua
1,Guacarí
1,Ansermanuevo
1,Bugalagrande
1,La Victoria
1,Ginebra
1,Yumbo
1,Obando
1,Bolívar
1,Cali
1,San Pedro
1,Guadalajara de Buga
1,Calima
1,Andalucía
1,Pradera
1,Yotoco
1,Palmira
1,Riofrío
1,Alcalá
1,Versalles
1,El Águila
1,Toro
1,Candelaria
1,La Cumbre
1,Ulloa
1,Trujillo
1,Vijes
1,Tuluá
1,Florida
1,Jamundí
1,Buenaventura
